time,target
"156,8","0,43825352"
157,"0,43564498"
"157,2","0,43754178"
"157,4","0,43983319"
"157,6","0,43544179"
"157,8","0,43469515"
158,"0,43658641"
"158,2","0,43576187"
"158,4","0,4353478"
"158,6","0,43182582"
"158,8","0,43792719"
159,"0,43486625"
"159,2","0,43523327"
"159,4","0,43989864"
"159,6","0,43716577"
"159,8","0,43559113"
160,"0,43586749"
"160,2","0,43704009"
"160,4","0,43242729"
"160,6","0,43261749"
"160,8","0,42824933"
161,"0,43559965"
"161,2","0,43438956"
"161,4","0,43271363"
"161,6","0,4284769"
"161,8","0,42887321"
162,"0,43019447"
"162,2","0,43285733"
"162,4","0,43345255"
"162,6","0,42848542"
"162,8","0,43302643"
163,"0,42984873"
"163,2","0,43003097"
"163,4","0,42830417"
"163,6","0,43127978"
"163,8","0,43256065"
164,"0,42943189"
"164,2","0,42735723"
"164,4","0,42760143"
"164,6","0,43078038"
"164,8","0,42661816"
165,"0,43152571"
"165,2","0,42475489"
"165,4","0,42663541"
"165,6","0,42773789"
"165,8","0,42817974"
166,"0,4275949"
"166,2","0,42479283"
"166,4","0,42401883"
"166,6","0,42425033"
"166,8","0,42538747"
167,"0,42915314"
"167,2","0,42424288"
"167,4","0,42784023"
"167,6","0,42507789"
"167,8","0,42538214"
168,"0,42771506"
"168,2","0,42440948"
"168,4","0,42112714"
"168,6","0,42366195"
"168,8","0,42223048"
169,"0,4236373"
"169,2","0,42241329"
"169,4","0,42595574"
"169,6","0,42165381"
"169,8","0,42209426"
170,"0,42435181"
"170,2","0,4221347"
"170,4","0,42460734"
"170,6","0,42320141"
"170,8","0,42290404"
171,"0,42135271"
"171,2","0,42498308"
"171,4","0,4205817"
"171,6","0,42191759"
"171,8","0,42114124"
172,"0,42058191"
"172,2","0,41988009"
"172,4","0,42662674"
"172,6","0,4219892"
"172,8","0,41974974"
173,"0,41875434"
"173,2","0,41864949"
"173,4","0,41905582"
"173,6","0,42284271"
"173,8","0,42082769"
174,"0,42399314"
"174,2","0,41885847"
"174,4","0,41753882"
"174,6","0,42120743"
"174,8","0,4209401"
175,"0,41627729"
"175,2","0,41399625"
"175,4","0,42078653"
"175,6","0,41767204"
"175,8","0,41817051"
176,"0,41362521"
"176,2","0,41466874"
"176,4","0,41377863"
"176,6","0,41680306"
"176,8","0,41793084"
177,"0,41683972"
"177,2","0,41686168"
"177,4","0,41661903"
"177,6","0,41466686"
"177,8","0,41521665"
178,"0,41239148"
"178,2","0,41656792"
"178,4","0,41130912"
"178,6","0,41296059"
